Age Group,Gender,Education Level,Stress Level,Study Hours,Stress Factors,Sleep Hours,Habits,Overwhelmed Frequency,Coping Mechanisms,WhatsApp Chatbot Interest,Personalized Insights Interest,Support Preferences,Unnamed: 14
19-21,Male,Undergraduate,3️⃣,2-4 hours,Exams & Tests,6-8 hours,Listening to music/podcasts for relaxation,Sometimes (A few times a month),Taking short breaks or naps,"Yes, I would love that!",Yes (Leave email for follow-up),Mindfulness workshops & stress management programs,.
19-21,Male,Undergraduate,4️⃣,2-4 hours,Exams & Tests,6-8 hours,Listening to music/podcasts for relaxation,Sometimes (A few times a month),Taking short breaks or naps,"Maybe, I’m curious.","No, I prefer to stay anonymous",More mental health awareness in schools/universities,nothing
19-21,Male,Undergraduate,2️⃣,2-4 hours,Competitive Environment,6-8 hours,Socializing with friends/family,Rarely (Almost never),Talking to a friend or family member,"No, I don’t think I’d use it.","No, I prefer to stay anonymous",Relaxation spaces in academic institutions,nothing 
19-21,Male,Undergraduate,3️⃣,Less than 2 hours,Maintaining Good Grades,6-8 hours,Listening to music/podcasts for relaxation,Sometimes (A few times a month),Using social media to distract myself,"No, I don’t think I’d use it.","No, I prefer to stay anonymous",Relaxation spaces in academic institutions,.
22-25,Male,Undergraduate,1️⃣,4-6 hours,Assignments & Deadlines,4-6 hours,Socializing with friends/family,Rarely (Almost never),Talking to a friend or family member,"Maybe, I’m curious.","No, I prefer to stay anonymous",Relaxation spaces in academic institutions,Just a supportive environment all around would strengthen people's way of handling stres
22-25,Male,Undergraduate,3️⃣,2-4 hours,Competitive Environment,4-6 hours,Healthy eating habits,Often (Several times a week),Talking to a friend or family member,"Yes, I would love that!",Yes (Leave email for follow-up),Mindfulness workshops & stress management programs,Relaxing team tasks for enjoy organised by university everyday (should be there)
19-21,Male,Undergraduate,4️⃣,Less than 2 hours,Exams & Tests,6-8 hours,Regular exercise or physical activity,Often (Several times a week),Talking to a friend or family member,"Yes, I would love that!",Yes (Leave email for follow-up),More mental health awareness in schools/universities,It should be easy to access. And it should be in totally private 
19-21,Male,Undergraduate,3️⃣,4-6 hours,Lack of Time Management,6-8 hours,Listening to music/podcasts for relaxation,Often (Several times a week),Talking to a friend or family member,"Maybe, I’m curious.",Yes (Leave email for follow-up),More mental health awareness in schools/universities,Ntg
16-18,Female,Undergraduate,2️⃣,More than 6 hours,Maintaining Good Grades,4-6 hours,Meditation or mindfulness practices,Rarely (Almost never),Taking short breaks or naps,"Yes, I would love that!",No,Mindfulness workshops & stress management programs,
19-21,Female,Postgraduate,1️⃣,2-4 hours,Exams & Tests,6-8 hours,Regular exercise or physical activity,Always (Every day),Talking to a friend or family member,"Maybe, I’m curious.",Yes,Easy access to counseling services,
26+,Male,Postgraduate,3️⃣,2-4 hours,Maintaining Good Grades,6-8 hours,Listening to music/podcasts for relaxation,Rarely (Almost never),Exercising or engaging in a hobby,"Yes, I would love that!",Yes,Relaxation spaces in academic institutions,
16-18,Male,Undergraduate,1️⃣,4-6 hours,Competitive Environment,6-8 hours,Meditation or mindfulness practices,Sometimes (A few times a month),"Seeking professional help (counseling, therapy)","Maybe, I’m curious.",Yes,Mindfulness workshops & stress management programs,
