"Timestamp","1️⃣ Age Group:","2️⃣ Gender:","3️⃣ Current Education Level:","4️⃣ On a scale of 1 to 5, how stressed do you feel about academics? (1 = Not Stressed, 5 = Extremely Stressed)  ","5️⃣ How many hours per day do you spend on academic work (assignments, studying, lectures, etc.)?  ","6️⃣ What are the biggest academic stressors for you? (Select all that apply)  ","7️⃣ On average, how many hours of sleep do you get per night?  ","8️⃣ Do you engage in any of the following habits regularly? (Select all that apply)  ","9️⃣ How often do you feel overwhelmed by stress?  ","🔟 When feeling stressed or anxious, what helps you the most? (Select all that apply)  ","1️⃣1️⃣ Would you be interested in a WhatsApp chatbot that provides instant mental health tips?  ","1️⃣2️⃣ Would you like to receive personalized mental health insights based on your responses?  ","1️⃣3️⃣ What kind of support do you think would help improve student mental health? (Select all that apply)  ",""
"2025/02/10 10:04:23 AM GMT+5:30","19-21","Male","Undergraduate","3️⃣","2-4 hours","Exams & Tests","6-8 hours","Listening to music/podcasts for relaxation","Sometimes (A few times a month)","Taking short breaks or naps","Yes, I would love that!","Yes (Leave email for follow-up)","Mindfulness workshops & stress management programs","."
"2025/02/10 10:29:49 AM GMT+5:30","19-21","Male","Undergraduate","4️⃣","2-4 hours","Exams & Tests","6-8 hours","Listening to music/podcasts for relaxation","Sometimes (A few times a month)","Taking short breaks or naps","Maybe, I’m curious.","No, I prefer to stay anonymous","More mental health awareness in schools/universities","nothing"
"2025/02/10 10:29:49 AM GMT+5:30","19-21","Male","Undergraduate","2️⃣","2-4 hours","Competitive Environment","6-8 hours","Socializing with friends/family","Rarely (Almost never)","Talking to a friend or family member","No, I don’t think I’d use it.","No, I prefer to stay anonymous","Relaxation spaces in academic institutions","nothing "
"2025/02/10 10:34:20 AM GMT+5:30","19-21","Male","Undergraduate","3️⃣","Less than 2 hours","Maintaining Good Grades","6-8 hours","Listening to music/podcasts for relaxation","Sometimes (A few times a month)","Using social media to distract myself","No, I don’t think I’d use it.","No, I prefer to stay anonymous","Relaxation spaces in academic institutions","."
"2025/02/10 2:15:50 PM GMT+5:30","22-25","Male","Undergraduate","1️⃣","4-6 hours","Assignments & Deadlines","4-6 hours","Socializing with friends/family","Rarely (Almost never)","Talking to a friend or family member","Maybe, I’m curious.","No, I prefer to stay anonymous","Relaxation spaces in academic institutions","Just a supportive environment all around would strengthen people's way of handling stres"
"2025/02/10 2:53:03 PM GMT+5:30","22-25","Male","Undergraduate","3️⃣","2-4 hours","Competitive Environment","4-6 hours","Healthy eating habits","Often (Several times a week)","Talking to a friend or family member","Yes, I would love that!","Yes (Leave email for follow-up)","Mindfulness workshops & stress management programs","Relaxing team tasks for enjoy organised by university everyday (should be there)"
"2025/02/10 7:14:17 PM GMT+5:30","19-21","Male","Undergraduate","4️⃣","Less than 2 hours","Exams & Tests","6-8 hours","Regular exercise or physical activity","Often (Several times a week)","Talking to a friend or family member","Yes, I would love that!","Yes (Leave email for follow-up)","More mental health awareness in schools/universities","It should be easy to access. And it should be in totally private "
"2025/02/11 12:23:05 AM GMT+5:30","19-21","Male","Undergraduate","3️⃣","4-6 hours","Lack of Time Management","6-8 hours","Listening to music/podcasts for relaxation","Often (Several times a week)","Talking to a friend or family member","Maybe, I’m curious.","Yes (Leave email for follow-up)","More mental health awareness in schools/universities","Ntg"
"2025/02/19 11:52:02 AM GMT+5:30","16-18","Female","Undergraduate","2️⃣","More than 6 hours","Maintaining Good Grades","4-6 hours","Meditation or mindfulness practices","Rarely (Almost never)","Taking short breaks or naps","Yes, I would love that!","No","Mindfulness workshops & stress management programs",""
"2025/02/19 11:52:16 AM GMT+5:30","19-21","Female","Postgraduate","1️⃣","2-4 hours","Exams & Tests","6-8 hours","Regular exercise or physical activity","Always (Every day)","Talking to a friend or family member","Maybe, I’m curious.","Yes","Easy access to counseling services",""
